arm,alpha,unit,density_run,beam,algo,beam_IoU,exact_IoU,beam_cov,exact_cov,no_solution,same_mask,beam_visited,exact_visited,beam_expanded,exact_expanded,beam_time_s,exact_time_s,beam_halted,exact_halted,beam_formula,exact_formula
untrained,0.2,unit396,0.20001,200,beam_optimal,0.2518,0.2518,0.1391,0.1391,0,1,1152,821,203,544,0.29,1.81,no,no,((lemma=a OR lemma=.) AND (NOT const=PP)),((lemma=a AND (NOT const=PP)) OR lemma=.)
untrained,0.2,unit510,0.20001,5,beam_optimal,0.2713,0.2713,0.3307,0.3307,0,1,97,350,15,490,0.02,0.55,no,no,((lemma=. OR tag=NN) OR dep=nsubj),((tag=NN OR dep=nsubj) OR lemma=.)
untrained,0.2,unit510,0.20001,10,beam_optimal,0.2713,0.2713,0.3307,0.3307,0,1,118,350,24,490,0.03,0.55,no,no,((lemma=. OR tag=NN) OR dep=nsubj),((tag=NN OR dep=nsubj) OR lemma=.)
untrained,0.2,unit510,0.20001,25,beam_optimal,0.2713,0.2713,0.3307,0.3307,0,1,202,350,38,490,0.04,0.55,no,no,((lemma=. OR tag=NN) OR dep=nsubj),((tag=NN OR dep=nsubj) OR lemma=.)
untrained,0.2,unit510,0.20001,50,beam_optimal,0.2713,0.2713,0.3307,0.3307,0,1,327,350,62,490,0.09,0.55,no,no,((lemma=. OR tag=NN) OR dep=nsubj),((tag=NN OR dep=nsubj) OR lemma=.)
untrained,0.2,unit510,0.20001,100,beam_optimal,0.2713,0.2713,0.3307,0.3307,0,1,454,350,109,490,0.22,0.55,no,no,((lemma=. OR tag=NN) OR dep=nsubj),((tag=NN OR dep=nsubj) OR lemma=.)
untrained,0.2,unit510,0.20001,200,beam_optimal,0.2713,0.2713,0.3307,0.3307,0,1,574,350,202,490,0.27,0.55,no,no,((lemma=. OR tag=NN) OR dep=nsubj),((tag=NN OR dep=nsubj) OR lemma=.)
untrained,0.1,unit88,0.1,5,beam_optimal,0.1353,0.1353,0.2118,0.2118,0,1,181,1127,15,477,0.03,2.09,no,no,((const=PP AND (NOT dep=det)) AND (NOT dep=prep)),((const=PP AND (NOT tag=DT)) AND (NOT dep=prep))
untrained,0.1,unit88,0.1,10,beam_optimal,0.1353,0.1353,0.2118,0.2118,0,1,283,1127,23,477,0.04,2.09,no,no,((const=PP AND (NOT dep=det)) AND (NOT dep=prep)),((const=PP AND (NOT tag=DT)) AND (NOT dep=prep))
untrained,0.1,unit88,0.1,25,beam_optimal,0.1353,0.1353,0.2118,0.2118,0,1,502,1127,38,477,0.07,2.09,no,no,((const=PP AND (NOT dep=det)) AND (NOT dep=prep)),((const=PP AND (NOT tag=DT)) AND (NOT dep=prep))
